Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,1u,C1592
"C2, C4",0603,2,0.1u,C30926
"C3, C5",0603,2,10u,C380316
"C7, C8",CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,2,10u,C185774
D1,0603,1,LED,C965799
D2,0603,1,RLED,
D3,0603,1,GLED,
D4,D_SMA,1,SS14,C2480
"H1, H2",MountingHole_3.2mm_M3_ISO14580_Pad,2,MountingHole,
IC1,SOT-23-6_Handsoldering,1,DW01A,C351410
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST XH,C722769
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,C2765186
Q1,SOT-23,1,FDN336P,C19188376
"R1, R10, R3, R4, R6, R7",0603,6,5.1K,C2907114
R2,0603,1,1.2k,C118396
R5,0805,1,100,C17408
R9,0603,1,1k,C328340
SW1,SW_SPST_CK_RS282G05A3,1,reset,
SW2,SW_SPST_CK_RS282G05A3,1,boot,
SW3,SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm,1,SW_DIP_x04,C25503179
SW4,SW_Slide_1P2T_CK_OS102011MS2Q,1,SW_SPDT,C431548
U1,SOP-8_3.9x4.9mm_P1.27mm,1,TP4056,C16581
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
U4,SOT-23-6_Handsoldering,1,FH8205,C2928988
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C2992570
U6,nRF24L01_Breakout,1,NRF24L01_Breakout,
"U7, U8",RKJXV1224005,2,RKJXV1224005,C918854
