Designator,Mid X,Mid Y,Rotation,Layer
C1,299.5,-151.9775,270.0,top
C2,314.52875,-143.675,90.0,top
C3,283.25,-127.25,180.0,top
C4,321.22875,-139.575,90.0,top
C5,283.25,-130.75,180.0,top
C7,296.5,-150.0,90.0,top
C8,287.0,-157.5,90.0,top
D1,320.65,-158.5,90.0,top
D2,317.125,-147.2,0.0,top
D3,317.125,-149.0,0.0,top
D4,303.5,-148.0,0.0,top
IC1,317.87875,-139.725,180.0,top
J1,331.0,-123.5,0.0,top
J2,310.4,-156.925,0.0,top
Q1,309.425,-147.8125,270.0,top
R1,283.25,-129.0,0.0,top
R10,313.3125,-147.2,180.0,top
R2,314.52875,-139.575,270.0,top
R3,317.15,-158.5875,90.0,top
R4,318.9,-158.5875,270.0,top
R5,321.52875,-143.675,90.0,top
R6,313.3125,-149.0,180.0,top
R7,320.65,-154.75,90.0,top
R9,320.0875,-137.0,0.0,top
SW1,302.5,-155.2275,270.0,top
SW2,313.0,-135.5,0.0,top
SW3,279.2325,-139.45,180.0,top
SW4,294.5,-157.43,0.0,top
U1,310.52875,-141.625,180.0,top
U2,295.25,-132.5,0.0,top
U4,317.87875,-143.725,0.0,top
U5,290.35,-151.08,0.0,top
U6,318.275,-115.9,90.0,top
U7,272.8875,-100.675,90.0,top
U8,347.1375,-100.675,90.0,top
